dataset,mert_layer,saved_layer_index,fold,num_train,num_validation,num_test,train_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
eastern,10,10,5,337,113,113,1.0,1.0,1.0,0.9203539823008849,0.8836303643146687,0.9196358115437119,0.8672566371681416,0.8271176002020555,0.864033294459308
eastern,11,11,1,337,113,113,1.0,1.0,1.0,0.9203539823008849,0.8752480581748874,0.919205539645859,0.911504424778761,0.8672167256884865,0.9088292786996224
eastern,11,11,2,338,112,113,1.0,1.0,1.0,0.9196428571428571,0.8983711754125328,0.9193674310986083,0.911504424778761,0.8658246515389372,0.9097996398881355
eastern,11,11,3,339,112,112,1.0,1.0,1.0,0.9107142857142857,0.8741541709522005,0.9086398053916528,0.8482142857142857,0.7866148652956854,0.8406311431593013
eastern,11,11,4,338,113,112,1.0,1.0,1.0,0.831858407079646,0.785263383979687,0.832408631470283,0.9375,0.9135675895716241,0.9378614806246386
eastern,11,11,5,337,113,113,1.0,1.0,1.0,0.911504424778761,0.8672167256884865,0.9088292786996224,0.8672566371681416,0.8284352218883669,0.8668981289313687
eastern,12,12,1,337,113,113,1.0,1.0,1.0,0.8938053097345132,0.8345456131170418,0.8926102412828075,0.8938053097345132,0.8483753861905123,0.8947754179404361
eastern,12,12,2,338,112,113,1.0,1.0,1.0,0.9107142857142857,0.8805281772421919,0.9102605010313123,0.9026548672566371,0.8562009419152277,0.9001393886349638
eastern,12,12,3,339,112,112,1.0,1.0,1.0,0.8571428571428571,0.8157531418693399,0.8535349647516409,0.8571428571428571,0.7974802217121034,0.8513572376655907
eastern,12,12,4,338,113,112,1.0,1.0,1.0,0.8672566371681416,0.8271862619927906,0.8665356250756183,0.9107142857142857,0.8851140392749883,0.9127097969547674
eastern,12,12,5,337,113,113,1.0,1.0,1.0,0.9203539823008849,0.874167401637239,0.9176563394650287,0.8672566371681416,0.8315492713438798,0.865451551270675
